,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 1: Monetary Base,,,,,,,جدول 1: القاعدة النقدية,
(Million ﷼),,,,,,,(مليون ﷼),
نهاية الفترة,,النقد المتداول,النقد في,ودائع لدى البنك المركزي  Deposits with SAMA,,,القاعدة النقدية,
,,خارج المصارف,الصندوق,ودائع البنوك ,ودائع المؤسسات ,المجموع,Monetary ,
,,Currency,Cash in ,المحلية,المالية العامة,, Base,
End of Period,,Outside Banks,Vault,Deposits of Banks,Public Fin. Ins.,Total,(Reserve Money),
,,1,2,3,4,5 = 3 + 4,6 = 1 + 2 + 5,
2016-11-30T00:00:00,,169699.63235816002,30541.19679651,96308.25572381,2825.1840877199998,99133.43981153,299374.2689662,
2016-12-31T00:00:00,,170323.06883444,29666.38936651,97838.65477041001,4575.662944510001,102414.31771492,302403.77591587,
2017-01-31T00:00:00,,169259.38039515,31243.131166749998,97315.59220475,3734.04885273,101049.64105748001,301552.15261938,
2017-02-28T00:00:00,,167597.20119666998,30615.43167359,96836.64127556,2884.68636065,99721.32763621,297933.96050647,
2017-03-31T00:00:00,,169762.96960108,29890.99989309,96152.85591025,6885.7001181099995,103038.55602836,302692.52552252996,
2017-04-30T00:00:00,,168957.09540684,30912.786622699998,97884.66989284,3432.42928153,101317.09917437,301186.98120390996,
2017-05-31T00:00:00,,170575.57154768,32886.53977501,98774.22539815,4319.53415341,103093.75955156,306555.87087425,
2017-06-30T00:00:00,,184276.19897168,39117.479568920004,98715.12581249,579.88919763,99295.01501012,322688.69355072,
2017-07-31T00:00:00,,171555.4145055,33458.196173590004,99416.93450818001,2750.82509234,102167.75960052002,307181.37027961004,
2017-08-31T00:00:00,,175359.30591349,38582.93775239,98910.71219897,624.9705638500001,99535.68276282,313477.9264287,
2017-09-30T00:00:00,,170609.52780694998,32696.98594111,98964.6498102,6651.224390779999,105615.87420098,308922.38794904,
2017-10-31T00:00:00,,167435.1908723,30500.43934658,96959.43517681,6302.05685692,103261.49203373,301197.12225261005,
2017-11-30T00:00:00,,169617.01076623,30487.19551867,97141.06813361999,680.65788818,97821.72602179999,297925.9323067,
2017-12-31T00:00:00,,172046.35069519997,31310.60287368,97534.49527582001,1035.05006049,98569.54533631001,301926.49890519,
2018-01-31T00:00:00,,175110.46370235,30250.97411643,98230.60431488001,1462.2167388399998,99692.82105372,305054.25887250004,
2018-02-28T00:00:00,,177554.21316646002,31240.30432487,99224.09868565,877.20408238,100101.30276803,308895.82025936,
2018-03-31T00:00:00,,180821.62861363002,31684.78249323,98713.77267919,674.10817413,99387.88085332,311894.29196018004,
2018-04-30T00:00:00,,181136.6340819943,31074.2879873157,98473.88767595,1537.2889970699998,100011.17667302,312222.09874233,
2018-05-31T00:00:00,,185568.79112441,35019.849291649996,98892.92010024001,1049.45487934,99942.37497958001,320531.01539564,
2018-06-30T00:00:00,,189861.89484327,36062.97439868,98861.96848573,1855.9693029300001,100717.93778866,326642.80703061004,
2018-07-31T00:00:00,,181774.64627488996,32211.08746514,99126.32389064,848.42294154,99974.74683218,313960.48057221,
2018-08-31T00:00:00,,184439.60093942,32831.59302889,98699.74850636,1036.09323089,99735.84173725,317007.03570556,
2018-09-30T00:00:00,,178997.72355044002,32456.172217080002,98414.47652094,1628.33381954,100042.81034048,311496.706108,
2018-10-31T00:00:00,,177804.27611674002,30801.6018718,101312.47199584,1539.1931876600001,102851.6651835,311457.54317204,
2018-11-30T00:00:00,,179748.96056768,30638.44015428,99556.38723175,742.14354471,100298.53077646,310685.93149842,
2018-12-31T00:00:00,,180132.44599683,30732.92690745,99942.62424247,806.57243413,100749.1966766,311614.56958088,
2019-01-31T00:00:00,,181104.68177311,28840.258806200003,100982.80896422,2597.33728368,103580.1462479,313525.08682721003,
2019-02-28T00:00:00,,182250.73938844004,30588.67617663,100398.40150091,4152.95253498,104551.35403588999,317390.76960096,
2019-03-31T00:00:00,,184719.10812617,29840.92620551,100444.1471077,5350.29633535,105794.44344305,320354.47777473,
2019-04-30T00:00:00,,185753.15484683003,30251.07513316,100149.22236509,955.0457054,101104.26807049,317108.49805048003,
2019-05-31T00:00:00,,196878.43759666,41258.83321596,99996.29498004,695.27917819,100691.57415823,338828.84497085,
2019-06-30T00:00:00,,190809.98193501,33079.15777897,101213.36567384998,855.21769085,102068.58336469998,325957.72307868,
2019-07-31T00:00:00,,192168.05500693,32217.181648619997,101997.18795669,1788.0745266,103785.26248329,328170.49913884,
2019-08-31T00:00:00,,191498.35996743,31040.784458140002,103733.36091814,881.90657064,104615.26748878,327154.41191435,
