,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 8a: Balance Sheet of Saudi Central Bank - Assets,,,,,,,,جدول 8a: الــمـركـــــز الـمــالــي  للبنك المركزي الســعــودي - الـموجــودات 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,غطاء النقد,,نقد,ودائع لدى,إستثمارات في أوراق,موجودات متنوعة,
,,Cash Cover,,في الصندوق,البنوك بالخارج,مالية في الخارج,أخرى,الإجمالي
,,ذهب,نقد أجنبي ,,Deposits,Investment,Other,
End of Period,,,Foreign,Cash,with Banks,in Foreign,Miscellaneous,TOTAL
,,Gold, Currencies,in Vault,Abroad,Securities,Assets,
2006-06-30T00:00:00,,756,88351,18791,86295,501748,25655.92223955004,721596.92223955
2006-07-31T00:00:00,,756,87192,20013,92151,547865,29930.64561829006,777907.6456182901
2006-08-31T00:00:00,,756,84475,17619,109982,562423,31486.99307205004,806741.99307205
2006-09-30T00:00:00,,756,90509,20897,133454,559381,31728.71539541008,836725.7153954101
2006-10-31T00:00:00,,756,95893,21329,127186,585895,31800.71530556993,862859.7153055699
2006-11-30T00:00:00,,756,93279,22462,117788,610960,26239.695250529912,871484.6952505299
2006-12-31T00:00:00,,756,93563,12777,123346,625667,28216.835180500057,884325.8351805
2007-01-31T00:00:00,,756,97210,25002,94555,652476,27767.43429677002,897766.43429677
2007-02-28T00:00:00,,756,95649,23336,95738,665157,26440.03688666993,907076.0368866699
2007-03-31T00:00:00,,756,91081,18542,121887,677895,27158.94969934004,937319.94969934
2007-04-30T00:00:00,,756,94608,22141,116617,689334,27882.27985523001,951338.27985523
2007-05-31T00:00:00,,756,97790,24621,98935,720492,26878.193224860006,969472.19322486
2007-06-30T00:00:00,,756,98212,23817,66870,723955,25978.151620240067,939588.1516202401
2007-07-31T00:00:00,,756,99163,25022,87809,770302,27095.208285219967,1010147.20828522
2007-08-31T00:00:00,,756,101072,28281,72154,771228,27135.161893359968,1000626.16189336
2007-09-30T00:00:00,,756,104789,26016,99022,779187,27810.810761040077,1037580.8107610401
2007-10-31T00:00:00,,756,107199,28001,113172,810475,27425.276980429888,1087028.27698043
2007-11-30T00:00:00,,756,104158,25287,155647,822826,26847.876422509784,1135521.8764225098
2007-12-31T00:00:00,,756,105298,23842,246792,790559,29570.394541870104,1196817.39454187
2008-01-31T00:00:00,,756,103985,24008,298683,806767,29360.99431717,1263559.99431717
2008-02-29T00:00:00,,1624,103024,25339,292105,858258,17288.677954589948,1297638.67795459
2008-03-31T00:00:00,,1624,102665,21787,280652,926254,26299.831737680128,1359281.8317376801
2008-04-30T00:00:00,,1624,100841,19173,246015,982830,25721.099109010072,1376204.09910901
2008-05-31T00:00:00,,1624,101600,18264,233064,1032621,22214.41230313992,1409387.41230314
2008-06-30T00:00:00,,1624,106509,19447,200975,1118475,19127.73369343998,1466157.73369344
2008-07-31T00:00:00,,1624,106540,18973,276168,1132360,23427.486423350172,1559092.4864233502
2008-08-31T00:00:00,,1624,108899,22040,296854,1167798,20962.15644096001,1618177.15644096
2008-09-30T00:00:00,,1624,117441,18543,354113,1165415,22833.29422496003,1679969.29422496
2008-10-31T00:00:00,,1624,118355,28073,373281,1172719,33050.330631169956,1727102.33063117
2008-11-30T00:00:00,,1624,119412,25764,384357,1169091,29817.661434630398,1730065.6614346304
2008-12-31T00:00:00,,1624,119442,27053,379488,1154247,28141.315057710046,1709995.31505771
2009-01-31T00:00:00,,1624,119716,27155,353285,1154356,25243.949773832923,1681379.949773833
2009-02-28T00:00:00,,1624,120399,27246.6,352582,1122238,26499.405186680146,1650589.0051866802
2009-03-31T00:00:00,,1624,121920,30057,314912,1114577.2,21245.343166319886,1604335.5431663198
2009-04-30T00:00:00,,1624,124826,32692,281780,1102031,23742.008847249905,1566695.00884725
2009-05-31T00:00:00,,1624,120612,27397,272590,1098908,24695.80967309,1545826.80967309
2009-06-30T00:00:00,,1624,118963,24838,252667,1094035,21540.185356190195,1513667.1853561902
2009-07-31T00:00:00,,1624,121698,27348,223114,1097546,21587.94909913023,1492917.9490991302
2009-08-31T00:00:00,,1624,120489,25277,225129,1097173,23699.97878937004,1493391.97878937
2009-09-30T00:00:00,,1624,125562,25192,238837,1071156,22338.555573199876,1484709.5555731999
2009-10-31T00:00:00,,1624,119711,21932,274266,1073847,23687.76030802005,1515067.76030802
2009-11-30T00:00:00,,1624,123822,14449,268903,1075144,19569.686651930213,1503511.6866519302
2009-12-31T00:00:00,,1624,121503,23876,335673,1071542,16436.026524130022,1570654.02652413
2010-01-31T00:00:00,,1624,120898.88076039,23547.02873129,343291.90329573,1079822.38815101,17510.29008417,1586694.4910225898
2010-02-28T00:00:00,,1624,121408.48076039,23245.9089908,337744.21967516,1103238.94190334,18355.49558102,1605617.04691071
2010-03-31T00:00:00,,1624,122013.99676039,22550.94370161,318796.09742532,1126127.43825829,19589.010064,1610701.48620961
