,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 28d: SADAD System Payments Value by Sectors,,,,,,,,,جدول 28d: مبــــالغ مـدفوعات نظام سداد حسب القـطاعـــــات
(Thousand ﷼),,,,,,,,, (ألف ﷼)
الفترة,,المال والتأمين وخدمات الاعمال,خدمات التعــــليم,الخدمات الحكومية,التقنية والاعلام والترفيه,الاتصالات وخدمات المرافق,خدمات النقل,أخرى,المجموع
,,,,,,,,,
Period,,"Financial, Insurance",Education Services,Government,"Technology, Media",Telecom ,Transportation,Other,Total
,,and Business Services ,,Services,and Entertainment,and  Utilities,Services,,
Q1,2024,30313217.738832504,332734.90442000004,135652663.49689,124230.69027,28269035.003299996,617771.11842,1958258.2732,197267911.2253325
Q2,2024,32917092.65846,120121.06542999999,164630148.3238201,116391.50809,29165941.28055,667326.0397600001,2006384.8310599998,229623405.7071701
Q3,2024,37974940.45973,489875.27573,152650172.46306,121075.12189,36955136.31346,665415.70866,4253072.402969999,233109687.74550003
Q4,2024,40913576.38413,271731.76915999997,159076366.80854002,123548.98734,36708418.89517,594419.7347200001,7555484.41461,245243546.99367
Q1,2025,42904538.93721,308918.89542,152770234.44291,113378.85647999999,27953711.52099,529986.98667,8065166.736990001,232645936.37667
Q2,2025,43156852.20517,256797.92822999996,177551370.89291012,134040.64267,32373219.100059994,523163.29625,6498056.16092,260493500.22621012
Q3,2025,49161832.23964,265411.13894,158187316.2034499,126223.0195,36942794.3581,389916.70357,9278898.96457,254352392.6277699
Q4,2025,51327250.372109994,217230.04139000003,167483407.22876,127356.51688000001,34334651.199880004,303261.44788,8527532.18919,262320688.99609002
,,,,,,,,,
2016-01-31T00:00:00,,1673278.7383800002,72413.42131,10344671.88173,2189.13288,3600081.87623,486179.14775,2026.1055,16180840.303779999
2016-02-29T00:00:00,,1522524.33049,152200.29196,10365070.21258,2231.015,3750008.2628099998,570076.75675,2562.1,16364672.96959
2016-03-31T00:00:00,,1759298.0543199999,168686.42667,10284544.28323,2842.23775,4983732.542850001,535996.4965,4058.23065,17739158.27197
2016-04-30T00:00:00,,1606748.19673,126766.80301,14265600.79241,2855.219,3791838.43829,494913.4655,4063.081,20292785.99594
2016-05-31T00:00:00,,1877915.41781,19952.65564,21094735.6114,5152.27125,4494452.796680001,622325.96575,5189.1485,28119723.867030002
2016-06-30T00:00:00,,1933606.43658,16133.64987,13093785.69585,5458.352,4679509.13262,562756.6785,5127.80375,20296377.749169998
2016-07-31T00:00:00,,1509988.149,31219.992,9031282.009,1165.581,4616729.09,499014.068,2693.954,15692092.843
2016-08-31T00:00:00,,2563388.575,118942.086,13562418.268,1897.327,6312618.487,592691.172,5348.449,23157304.364
2016-09-30T00:00:00,,1734972.45,79556.407,9782020.796,3281.251,4722615.937,427163.554,8010.175,16757620.57
2016-10-31T00:00:00,,1897075.016,204798.045,11886303.626,3696.343,5934053.217,425108.843,4752.568,20355787.658
2016-11-30T00:00:00,,1775739.493,145322.607,11088135.288,2368.436,5046334.715,399577.25,24063.253,18481541.042
2016-12-31T00:00:00,,1812054.591,96794.864,12093449.074,1973.637,5027068.255,377370.426,4004.253,19412715.1
2017-01-31T00:00:00,,1993315.14,51959.941,12144803.521,2870.956,4497599.532,497134.862,4125.818,19191809.77
2017-02-28T00:00:00,,1592669.394,175618.228,10189652.479,1788.126,4071919.728,411533.419,5207.968,16448389.342
2017-03-31T00:00:00,,1875199.76,151987.465,12517402.555,2906.342,4363114.337,442291.576,4493.128,19357395.163
2017-04-30T00:00:00,,1793187.172,134174.289,18998653.457,3095.757,4348607.515,452908.738,4776.824,25735403.752
2017-05-31T00:00:00,,2027797.49211,43653.122200000005,18089378.1204,4938.6562699999995,4953198.70691,501790.6875,6085.638,25626842.423390005
2017-06-30T00:00:00,,1748537.039,14159.003,11283277.571,2075.141,4516496.274,470428.644,6492.088,18041465.76
2017-07-31T00:00:00,,1937117.0205899999,43368.11153,15387558.99672,1502.67352,5715910.50496,574410.224,5616.062849999999,23665483.594169997
2017-08-31T00:00:00,,2141539.061,59926.924,15243099.469,1853.572,6307412.782,523359.499,6044.202,24283235.509
