,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,
Table 26a: Bank Clearings,,,,,,,جدول 26a:  المقاصة المصرفية
,,,,,,,
,,(شيكات أفراد وشركات ),,,(شيكات بين المصارف ),,
الفترة,, (Commercial and Personal Cheques),,, (Inter Bank Cheques),,
,,عدد الشيكات, القيمة ,متوسط قيمة الشيك,عدد الشيكات, القيمة ,متوسط قيمة الشيك
Period,,No. of Cheques,Total Value,Average Value ,No. of Cheques,Total Value,Average Value 
,,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque
1990,,1888.464,228369,120928.43707902296,---,---,---
2014-04-30T00:00:00,,539,56908,105580.70500927644,76,26198,344710.5263157895
2014-05-31T00:00:00,,523,55657,106418.7380497132,69,23024,333681.15942028986
2014-06-30T00:00:00,,534,56457,105724.7191011236,70,24100,344285.71428571426
2014-07-31T00:00:00,,434,49749,114629.03225806452,56,21831,389839.28571428574
2014-08-31T00:00:00,,439,46636,106232.34624145787,56,17032,304142.85714285716
2014-09-30T00:00:00,,531,57886,109013.18267419962,64,20721,323765.625
2014-10-31T00:00:00,,399,40324,101062.656641604,50,15108,302160
2014-11-30T00:00:00,,512,54024,105515.625,63,19122,303523.8095238095
2014-12-31T00:00:00,,583,67015,114948.54202401372,70,22536,321942.8571428571
2015-01-31T00:00:00,,465.067,52398,112667.63713615456,56.2,17031,303042.70462633454
2015-02-28T00:00:00,,470.72,46611,99020.6492182189,53.5,17195.4,321409.3457943926
2015-03-31T00:00:00,,539.318,51550,95583.68161270345,63.5,19362,304913.3858267717
2015-04-30T00:00:00,,512.543,49822,97205.50275781739,59,22057,373847.4576271187
2015-05-31T00:00:00,,494.083,45380,91846.91640878152,68.4,23045,336915.2046783626
2015-06-30T00:00:00,,506.797,49029,96742.8773256353,113,20171,178504.42477876105
2015-07-31T00:00:00,,372.42,40258,108098.38354545942,70,14529.2,207560
2015-08-31T00:00:00,,467.843,41840.6,89432.99354698049,103,14158,137456.31067961163
2015-09-30T00:00:00,,393.927,36277,92090.66654481668,62.3,17992,288796.1476725522
2015-10-31T00:00:00,,478.799,43191.29,90207.56100158939,61,15313,251032.7868852459
2015-11-30T00:00:00,,498.895,42644,85476.90395774663,98,16746,170877.55102040817
2015-12-31T00:00:00,,511.72,42651,83348.31548503086,141.171,17933,127030.3390923065
