,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 3: Money Supply,,,,,,,,جدول 3: عــــــرض الـنـقـــــــود 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,النقد المتداول,الودائع,عرض النقود,الودائع الزمنية,عرض النقود,الودائع الأخرى,عرض النقود
,,خارج المصارف, تحت الطلب,  ن 1     ,والإدخارية,  ن 2     ,*شبه النقدية,  ن 3     
,,Currency,Demand ,Money Supply,Time & Savings,Money Supply,Other Quasi-,Money Supply
End of Period,,Outside Banks,Deposits,M1,Deposits,M2,Money Deposits*,M3
,,1,2, 3=1+2,4,5 = 3 + 4,6,7 = 5 + 6
Q2,2024,229187.03391492998,1421422.59941256,1650609.63332749,903712.4495317099,2554322.0828592,344383.80855212006,2898705.89141132
Q3,2024,224781.67146168998,1442760.7931805,1667542.46464219,946865.5352704601,2614407.99991265,329253.46649156004,2943661.46640421
Q4,2024,229088.19631035,1440640.6123717302,1669728.8086820801,949707.90734594,2619436.7160280203,302035.60330071003,2921472.3193287305
Q1,2025,251534.70336374,1461943.42580178,1713478.12916552,1075526.8680081,2789004.99717362,266866.87396929,3055871.87114291
Q2,2025,244311.08135188997,1495281.3073080298,1739592.3886599198,1099881.6830699702,2839474.07172989,280542.65208193054,3120016.7238118206
Q3,2025,237340.87662348003,1477847.9072655302,1715188.7838890103,1152758.71365331,2867947.4975423203,304404.47979040747,3172351.977332728
Q4,2025,241965.75771247002,1432320.08099126,1674285.8387037301,1173836.6563675266,2848122.4950712565,319655.4768074151,3167777.9718786716
,,,,,,,,
1993-01-31T00:00:00,,43987.38,83672.56700000001,127659.94700000001,46181.365999999995,173841.31300000002,54422.607,228263.92000000004
1993-02-28T00:00:00,,45338.575999999994,84624.138,129962.714,46108.899000000005,176071.613,60263.115000000005,236334.728
1993-03-31T00:00:00,,46572.6255,85427.936,132000.5615,45748.717000000004,177749.27850000001,55651.947,233401.2255
1993-04-30T00:00:00,,46594.138533,85704.078,132298.216533,45984.425,178282.641533,56290.971999999994,234573.613533
1993-05-31T00:00:00,,48942.1277,85989.786,134931.91369999998,46212.882,181144.79569999996,54955.454999999994,236100.25069999995
1993-06-30T00:00:00,,47880.194353,89345.831,137226.025353,46155.635,183381.660353,57828.003,241209.663353
1993-07-31T00:00:00,,46549.9284,89945.723,136495.6514,46245.888999999996,182741.5404,57098.469,239840.00939999998
1993-08-31T00:00:00,,44488.262395,89289.138,133777.400395,46625.812000000005,180403.212395,61287.742999999995,241690.955395
1993-09-30T00:00:00,,43311.305902,88202.388,131513.693902,45713.529,177227.222902,60344.594,237571.816902
1993-10-31T00:00:00,,43407.870706,83343.125,126750.995706,46608.568,173359.563706,61833.365,235192.92870599998
1993-11-30T00:00:00,,42836.33823,81473.832,124310.17022999999,46633.355,170943.52523,61860.409999999996,232803.93523
1993-12-31T00:00:00,,42622.797617,78879.959,121502.756617,47892.33899999999,169395.095617,59027.659999999996,228422.75561700002
1994-01-31T00:00:00,,42558.307467,81221.733,123780.04046699998,47767.719000000005,171547.759467,59392.55300000001,230940.312467
1994-02-28T00:00:00,,46303.364,84268.491,130571.855,46748.75,177320.60499999998,57227.282999999996,234547.88799999998
1994-03-31T00:00:00,,44789.630069,80386.28600000001,125175.916069,48772.721999999994,173948.63806899998,57715.399,231664.03706899998
1994-04-30T00:00:00,,44568.78838299999,80762.179,125330.967383,47971.187999999995,173302.15538299998,56383.82399999999,229685.97938299997
1994-05-31T00:00:00,,45229.799189,82660.827,127890.626189,48219.808999999994,176110.43518899998,57859.812000000005,233970.247189
1994-06-30T00:00:00,,44923.696395,82602.91900000001,127526.615395,48248.854999999996,175775.470395,57765.03300000001,233540.503395
