السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الحمراء,فيلا,34,55828769,21369.085,2520.87073142942,3300,1382.03
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,السلامة,فيلا,2,2931475,803.98,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الكعكية,فيلا,1,3500000,645,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الحمدانية,قطعة أرض- زراعي,1,980000,645,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,البحيرات,قطعة أرض-تجارى,9,30872500,22872.14,1671.79584495305,2131.96,1225
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الجامعة,قطعة أرض-تجارى,9,8967325.5,2082.12,4190.60374265811,5318.52,3557.05
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الأمواج,قطعة أرض-تجارى,3,14000000,2112.5,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,البساتين,قطعة أرض-تجارى,7,69654528,7061,8382.69594202899,11060.61,4239.85
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الربوه,قطعة أرض-تجارى,7,52065594,5558.62,5327.99494553997,5915.23,4900.1
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الروابي,قطعة أرض-تجارى,2,3125000,1487.84,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الروضة,قطعة أرض-تجارى,8,99438635,8916.89,11151.7171345615,14000,7700
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,البغددية الشرقية,قطعة أرض-تجارى,1,4000000,1126.12,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الزمرد,قطعة أرض-تجارى,26,63565000,21490.99,2558.19200603426,5260.55,1572.61
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,السلامة,قطعة أرض-تجارى,8,96553770,12124.77,8719.18943419723,9027.78,7575.76
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الخالدية,قطعة أرض-تجارى,3,13638700,2285.5,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الرحمانية,قطعة أرض-تجارى,6,10080000,4255,1766.15831517792,4066.67,1476.01
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الشرفية,قطعة أرض-تجارى,3,1968836,1747.35,NULL,NULL,NULL
